ADMIN,ADM0_A3,NAME,NAME_LONG,ABBREV,POSTAL,ISO_A3,POP2020,hiv_prev
Ethiopia,ETH,Ethiopia,Ethiopia,Eth.,ET,ETH,111731311,1
South Sudan,SDS,S. Sudan,South Sudan,S. Sud.,SS,SSD,14111968,2
Somalia,SOM,Somalia,Somalia,Som.,SO,SOM,9324388,0
Kenya,KEN,Kenya,Kenya,Ken.,KE,KEN,51513181,4
Malawi,MWI,Malawi,Malawi,Mal.,MW,MWI,20052347,8
United Republic of Tanzania,TZA,Tanzania,Tanzania,Tanz.,TZ,TZA,61896817,5
Somaliland,SOL,Somaliland,Somaliland,Solnd.,SL,,3134820,0
Morocco,MAR,Morocco,Morocco,Mor.,MA,MAR,36774373,0
Western Sahara,SAH,W. Sahara,Western Sahara,W. Sah.,WS,ESH,52342,0
Republic of the Congo,COG,Congo,Republic of the Congo,Rep. Congo,CG,COG,5244115,4
Democratic Republic of the Congo,COD,Dem. Rep. Congo,Democratic Republic of the Congo,D.R.C.,DRC,COD,89635682,1
Namibia,NAM,Namibia,Namibia,Nam.,NA,NAM,2733529,12
South Africa,ZAF,South Africa,South Africa,S.Af.,ZA,ZAF,56423281,18
Libya,LBY,Libya,Libya,Libya,LY,LBY,6652042,0
Tunisia,TUN,Tunisia,Tunisia,Tun.,TN,TUN,11642962,0
Zambia,ZMB,Zambia,Zambia,Zambia,ZM,ZMB,18783579,11
Sierra Leone,SLE,Sierra Leone,Sierra Leone,S.L.,SL,SLE,6951156,1
Guinea,GIN,Guinea,Guinea,Gin.,GN,GIN,14260099,2
Liberia,LBR,Liberia,Liberia,Liberia,LR,LBR,4952627,1
Central African Republic,CAF,Central African Rep.,Central African Republic,C.A.R.,CF,CAF,5359569,3
Sudan,SDN,Sudan,Sudan,Sudan,SD,SDN,45292131,0
Djibouti,DJI,Djibouti,Djibouti,Dji.,DJ,DJI,880652,1
Eritrea,ERI,Eritrea,Eritrea,Erit.,ER,ERI,5954777,1
Ivory Coast,CIV,C̫te d'Ivoire,C̫te d'Ivoire,I.C.,CI,CIV,25170076,2
Mali,MLI,Mali,Mali,Mali,ML,MLI,20542098,1
Senegal,SEN,Senegal,Senegal,Sen.,SN,SEN,17384422,0
Nigeria,NGA,Nigeria,Nigeria,Nigeria,NG,NGA,205773415,1
Benin,BEN,Benin,Benin,Benin,BJ,BEN,12418379,1
Angola,AGO,Angola,Angola,Ang.,AO,AGO,29150495,2
Botswana,BWA,Botswana,Botswana,Bwa.,BW,BWA,2442807,19
Zimbabwe,ZWE,Zimbabwe,Zimbabwe,Zimb.,ZW,ZWE,17363456,12
Chad,TCD,Chad,Chad,Chad,TD,TCD,16435333,1
Algeria,DZA,Algeria,Algeria,Alg.,DZ,DZA,42732752,0
Mozambique,MOZ,Mozambique,Mozambique,Moz.,MZ,MOZ,31731546,0
eSwatini,SWZ,eSwatini,Kingdom of eSwatini,eSw.,ES,SWZ,1361544,28
Burundi,BDI,Burundi,Burundi,Bur.,BI,BDI,13096589,1
Rwanda,RWA,Rwanda,Rwanda,Rwa.,RW,RWA,13298620,2
Uganda,UGA,Uganda,Uganda,Uga.,UG,UGA,45982145,5
Lesotho,LSO,Lesotho,Lesotho,Les.,LS,LSO,2232440,21
Cameroon,CMR,Cameroon,Cameroon,Cam.,CM,CMR,26264883,3
Gabon,GAB,Gabon,Gabon,Gabon,GA,GAB,1828659,3
Niger,NER,Niger,Niger,Niger,NE,NER,24140192,0
Burkina Faso,BFA,Burkina Faso,Burkina Faso,B.F.,BF,BFA,20829111,1
Togo,TGO,Togo,Togo,Togo,TG,TGO,8295979,2
Ghana,GHA,Ghana,Ghana,Ghana,GH,GHA,30255542,2
Guinea-Bissau,GNB,Guinea-Bissau,Guinea-Bissau,GnB.,GW,GNB,2026677,3
Egypt,EGY,Egypt,Egypt,Egypt,EG,EGY,99075949,0
Mauritania,MRT,Mauritania,Mauritania,Mrt.,MR,MRT,4509214,0
Equatorial Guinea,GNQ,Eq. Guinea,Equatorial Guinea,Eq. G.,GQ,GNQ,924984,7
Gambia,GMB,Gambia,The Gambia,Gambia,GM,GMB,2186370,2
Madagascar,MDG,Madagascar,Madagascar,Mad.,MG,MDG,27555174,0
